support,opposition,modal_regime,seed_disagreement,symmetric_fixed_point,lambda_symmetric,lambda_antisymmetric,symmetric_fixed_stable,n_collapse,n_equilibrium,n_lock_in,n_oscillation,n_unresolved,regime_transition_candidate,bifurcation_candidate
-6.0,0.0,collapse,False,0.0024973853,0.0099645935,0.0000000000,True,7,0,0,0,0,False,False
-6.0,0.25,collapse,False,0.0024958158,0.0093359502,0.0006223967,True,7,0,0,0,0,False,False
-6.0,0.5,collapse,False,0.0024942493,0.0087080979,0.0012440140,True,7,0,0,0,0,False,False
-6.0,0.75,collapse,False,0.0024926857,0.0080810346,0.0018648541,True,7,0,0,0,0,False,False
-6.0,1.0,collapse,False,0.0024911250,0.0074547579,0.0024849193,True,7,0,0,0,0,False,False
-6.0,1.25,collapse,False,0.0024895673,0.0068292657,0.0031042117,True,7,0,0,0,0,False,False
-6.0,1.5,collapse,False,0.0024880125,0.0062045557,0.0037227334,True,7,0,0,0,0,False,False
-6.0,1.75,collapse,False,0.0024864606,0.0055806258,0.0043404867,True,7,0,0,0,0,False,False
-6.0,2.0,collapse,False,0.0024849116,0.0049574737,0.0049574737,True,7,0,0,0,0,False,False
-6.0,2.25,collapse,False,0.0024833655,0.0043350973,0.0055736965,True,7,0,0,0,0,False,False
-6.0,2.5,collapse,False,0.0024818223,0.0037134943,0.0061891572,True,7,0,0,0,0,False,False
-6.0,2.75,collapse,False,0.0024802820,0.0030926628,0.0068038581,True,7,0,0,0,0,False,False
-6.0,3.0,collapse,False,0.0024787445,0.0024726004,0.0074178011,True,7,0,0,0,0,False,False
-6.0,3.25,collapse,False,0.0024772099,0.0018533050,0.0080309885,True,7,0,0,0,0,False,False
-6.0,3.5,collapse,False,0.0024756782,0.0012347746,0.0086434222,True,7,0,0,0,0,False,False
-6.0,3.75,collapse,False,0.0024741493,0.0006170070,0.0092551044,True,7,0,0,0,0,False,False
-6.0,4.0,collapse,False,0.0024726232,0.0000000000,0.0098660372,True,7,0,0,0,0,False,False
-6.0,4.25,collapse,False,0.0024710999,-0.0006162484,0.0104762226,True,7,0,0,0,0,False,False
-6.0,4.5,collapse,False,0.0024695794,-0.0012317403,0.0110856626,True,7,0,0,0,0,False,False
-6.0,4.75,collapse,False,0.0024680617,-0.0018464778,0.0116943594,True,7,0,0,0,0,False,False
-6.0,5.0,collapse,False,0.0024665469,-0.0024604630,0.0123023150,True,7,0,0,0,0,False,False
-6.0,5.25,collapse,False,0.0024650348,-0.0030736980,0.0129095314,True,7,0,0,0,0,False,False
-6.0,5.5,collapse,False,0.0024635254,-0.0036861847,0.0135160106,True,7,0,0,0,0,False,False
-6.0,5.75,collapse,False,0.0024620189,-0.0042979253,0.0141217547,True,7,0,0,0,0,False,False
-6.0,6.0,collapse,False,0.0024605151,-0.0049089219,0.0147267656,True,7,0,0,0,0,False,False
-6.0,6.25,collapse,False,0.0024590140,-0.0055191763,0.0153310453,True,7,0,0,0,0,False,False
-6.0,6.5,collapse,False,0.0024575157,-0.0061286907,0.0159345959,True,7,0,0,0,0,False,False
-6.0,6.75,collapse,False,0.0024560201,-0.0067374671,0.0165374193,True,7,0,0,0,0,False,False
-6.0,7.0,collapse,False,0.0024545272,-0.0073455075,0.0171395174,True,7,0,0,0,0,False,False
-6.0,7.25,collapse,False,0.0024530370,-0.0079528138,0.0177408923,True,7,0,0,0,0,False,False
-6.0,7.5,collapse,False,0.0024515496,-0.0085593881,0.0183415459,True,7,0,0,0,0,False,False
-6.0,7.75,collapse,False,0.0024500648,-0.0091652324,0.0189414802,True,7,0,0,0,0,False,False
-6.0,8.0,collapse,False,0.0024485827,-0.0097703485,0.0195406971,True,7,0,0,0,0,False,False
-6.0,8.25,collapse,False,0.0024471033,-0.0103747386,0.0201391984,True,7,0,0,0,0,False,False
-6.0,8.5,collapse,False,0.0024456265,-0.0109784045,0.0207369862,True,7,0,0,0,0,False,False
-6.0,8.75,collapse,False,0.0024441524,-0.0115813481,0.0213340624,True,7,0,0,0,0,False,False
-6.0,9.0,collapse,False,0.0024426810,-0.0121835715,0.0219304287,True,7,0,0,0,0,False,False
-6.0,9.25,collapse,False,0.0024412122,-0.0127850766,0.0225260873,True,7,0,0,0,0,False,False
-6.0,9.5,collapse,False,0.0024397460,-0.0133858652,0.0231210399,True,7,0,0,0,0,False,False
-6.0,9.75,collapse,False,0.0024382825,-0.0139859393,0.0237152884,True,7,0,0,0,0,False,False
-6.0,10.0,collapse,False,0.0024368216,-0.0145853008,0.0243088347,True,7,0,0,0,0,False,False
-6.0,10.25,collapse,False,0.0024353633,-0.0151839516,0.0249016806,True,7,0,0,0,0,False,False
-6.0,10.5,collapse,False,0.0024339075,-0.0157818936,0.0254938281,True,7,0,0,0,0,False,False
-6.0,10.75,collapse,False,0.0024324544,-0.0163791287,0.0260852790,True,7,0,0,0,0,False,False
-6.0,11.0,collapse,False,0.0024310039,-0.0169756586,0.0266760350,True,7,0,0,0,0,False,False
