example,step,autonomy,coordination,seed
collapse,0,0.4823832765,0.4650849174,7
collapse,1,0.0186075817,0.0173852204,7
collapse,2,0.0180294413,0.0179430804,7
collapse,3,0.0179892610,0.0179831595,7
collapse,4,0.0179864255,0.0179859944,7
collapse,5,0.0179862252,0.0179861947,7
collapse,6,0.0179862110,0.0179862089,7
collapse,7,0.0179862100,0.0179862099,7
collapse,8,0.0179862100,0.0179862100,7
collapse,9,0.0179862100,0.0179862100,7
collapse,10,0.0179862100,0.0179862100,7
collapse,11,0.0179862100,0.0179862100,7
collapse,12,0.0179862100,0.0179862100,7
collapse,13,0.0179862100,0.0179862100,7
collapse,14,0.0179862100,0.0179862100,7
collapse,15,0.0179862100,0.0179862100,7
collapse,16,0.0179862100,0.0179862100,7
collapse,17,0.0179862100,0.0179862100,7
collapse,18,0.0179862100,0.0179862100,7
collapse,19,0.0179862100,0.0179862100,7
collapse,20,0.0179862100,0.0179862100,7
collapse,21,0.0179862100,0.0179862100,7
collapse,22,0.0179862100,0.0179862100,7
collapse,23,0.0179862100,0.0179862100,7
collapse,24,0.0179862100,0.0179862100,7
collapse,25,0.0179862100,0.0179862100,7
collapse,26,0.0179862100,0.0179862100,7
collapse,27,0.0179862100,0.0179862100,7
collapse,28,0.0179862100,0.0179862100,7
collapse,29,0.0179862100,0.0179862100,7
collapse,30,0.0179862100,0.0179862100,7
collapse,31,0.0179862100,0.0179862100,7
collapse,32,0.0179862100,0.0179862100,7
collapse,33,0.0179862100,0.0179862100,7
collapse,34,0.0179862100,0.0179862100,7
collapse,35,0.0179862100,0.0179862100,7
collapse,36,0.0179862100,0.0179862100,7
collapse,37,0.0179862100,0.0179862100,7
collapse,38,0.0179862100,0.0179862100,7
collapse,39,0.0179862100,0.0179862100,7
collapse,40,0.0179862100,0.0179862100,7
collapse,41,0.0179862100,0.0179862100,7
collapse,42,0.0179862100,0.0179862100,7
collapse,43,0.0179862100,0.0179862100,7
collapse,44,0.0179862100,0.0179862100,7
collapse,45,0.0179862100,0.0179862100,7
collapse,46,0.0179862100,0.0179862100,7
collapse,47,0.0179862100,0.0179862100,7
collapse,48,0.0179862100,0.0179862100,7
collapse,49,0.0179862100,0.0179862100,7
collapse,50,0.0179862100,0.0179862100,7
collapse,51,0.0179862100,0.0179862100,7
collapse,52,0.0179862100,0.0179862100,7
collapse,53,0.0179862100,0.0179862100,7
collapse,54,0.0179862100,0.0179862100,7
collapse,55,0.0179862100,0.0179862100,7
collapse,56,0.0179862100,0.0179862100,7
collapse,57,0.0179862100,0.0179862100,7
collapse,58,0.0179862100,0.0179862100,7
collapse,59,0.0179862100,0.0179862100,7
collapse,60,0.0179862100,0.0179862100,7
collapse,61,0.0179862100,0.0179862100,7
collapse,62,0.0179862100,0.0179862100,7
collapse,63,0.0179862100,0.0179862100,7
collapse,64,0.0179862100,0.0179862100,7
collapse,65,0.0179862100,0.0179862100,7
collapse,66,0.0179862100,0.0179862100,7
collapse,67,0.0179862100,0.0179862100,7
collapse,68,0.0179862100,0.0179862100,7
collapse,69,0.0179862100,0.0179862100,7
collapse,70,0.0179862100,0.0179862100,7
collapse,71,0.0179862100,0.0179862100,7
collapse,72,0.0179862100,0.0179862100,7
collapse,73,0.0179862100,0.0179862100,7
collapse,74,0.0179862100,0.0179862100,7
collapse,75,0.0179862100,0.0179862100,7
collapse,76,0.0179862100,0.0179862100,7
collapse,77,0.0179862100,0.0179862100,7
collapse,78,0.0179862100,0.0179862100,7
collapse,79,0.0179862100,0.0179862100,7
collapse,80,0.0179862100,0.0179862100,7
collapse,81,0.0179862100,0.0179862100,7
collapse,82,0.0179862100,0.0179862100,7
collapse,83,0.0179862100,0.0179862100,7
collapse,84,0.0179862100,0.0179862100,7
collapse,85,0.0179862100,0.0179862100,7
collapse,86,0.0179862100,0.0179862100,7
collapse,87,0.0179862100,0.0179862100,7
collapse,88,0.0179862100,0.0179862100,7
collapse,89,0.0179862100,0.0179862100,7
collapse,90,0.0179862100,0.0179862100,7
collapse,91,0.0179862100,0.0179862100,7
collapse,92,0.0179862100,0.0179862100,7
collapse,93,0.0179862100,0.0179862100,7
collapse,94,0.0179862100,0.0179862100,7
collapse,95,0.0179862100,0.0179862100,7
collapse,96,0.0179862100,0.0179862100,7
collapse,97,0.0179862100,0.0179862100,7
collapse,98,0.0179862100,0.0179862100,7
collapse,99,0.0179862100,0.0179862100,7
collapse,100,0.0179862100,0.0179862100,7
collapse,101,0.0179862100,0.0179862100,7
collapse,102,0.0179862100,0.0179862100,7
collapse,103,0.0179862100,0.0179862100,7
collapse,104,0.0179862100,0.0179862100,7
collapse,105,0.0179862100,0.0179862100,7
collapse,106,0.0179862100,0.0179862100,7
collapse,107,0.0179862100,0.0179862100,7
collapse,108,0.0179862100,0.0179862100,7
collapse,109,0.0179862100,0.0179862100,7
collapse,110,0.0179862100,0.0179862100,7
collapse,111,0.0179862100,0.0179862100,7
collapse,112,0.0179862100,0.0179862100,7
collapse,113,0.0179862100,0.0179862100,7
collapse,114,0.0179862100,0.0179862100,7
collapse,115,0.0179862100,0.0179862100,7
collapse,116,0.0179862100,0.0179862100,7
collapse,117,0.0179862100,0.0179862100,7
collapse,118,0.0179862100,0.0179862100,7
collapse,119,0.0179862100,0.0179862100,7
collapse,120,0.0179862100,0.0179862100,7
collapse,121,0.0179862100,0.0179862100,7
collapse,122,0.0179862100,0.0179862100,7
collapse,123,0.0179862100,0.0179862100,7
collapse,124,0.0179862100,0.0179862100,7
collapse,125,0.0179862100,0.0179862100,7
collapse,126,0.0179862100,0.0179862100,7
collapse,127,0.0179862100,0.0179862100,7
collapse,128,0.0179862100,0.0179862100,7
collapse,129,0.0179862100,0.0179862100,7
collapse,130,0.0179862100,0.0179862100,7
collapse,131,0.0179862100,0.0179862100,7
collapse,132,0.0179862100,0.0179862100,7
collapse,133,0.0179862100,0.0179862100,7
collapse,134,0.0179862100,0.0179862100,7
collapse,135,0.0179862100,0.0179862100,7
collapse,136,0.0179862100,0.0179862100,7
collapse,137,0.0179862100,0.0179862100,7
collapse,138,0.0179862100,0.0179862100,7
collapse,139,0.0179862100,0.0179862100,7
collapse,140,0.0179862100,0.0179862100,7
collapse,141,0.0179862100,0.0179862100,7
collapse,142,0.0179862100,0.0179862100,7
collapse,143,0.0179862100,0.0179862100,7
collapse,144,0.0179862100,0.0179862100,7
collapse,145,0.0179862100,0.0179862100,7
collapse,146,0.0179862100,0.0179862100,7
collapse,147,0.0179862100,0.0179862100,7
collapse,148,0.0179862100,0.0179862100,7
collapse,149,0.0179862100,0.0179862100,7
collapse,150,0.0179862100,0.0179862100,7
collapse,151,0.0179862100,0.0179862100,7
collapse,152,0.0179862100,0.0179862100,7
collapse,153,0.0179862100,0.0179862100,7
collapse,154,0.0179862100,0.0179862100,7
collapse,155,0.0179862100,0.0179862100,7
collapse,156,0.0179862100,0.0179862100,7
collapse,157,0.0179862100,0.0179862100,7
collapse,158,0.0179862100,0.0179862100,7
collapse,159,0.0179862100,0.0179862100,7
collapse,160,0.0179862100,0.0179862100,7
collapse,161,0.0179862100,0.0179862100,7
collapse,162,0.0179862100,0.0179862100,7
collapse,163,0.0179862100,0.0179862100,7
collapse,164,0.0179862100,0.0179862100,7
collapse,165,0.0179862100,0.0179862100,7
collapse,166,0.0179862100,0.0179862100,7
collapse,167,0.0179862100,0.0179862100,7
collapse,168,0.0179862100,0.0179862100,7
collapse,169,0.0179862100,0.0179862100,7
collapse,170,0.0179862100,0.0179862100,7
collapse,171,0.0179862100,0.0179862100,7
collapse,172,0.0179862100,0.0179862100,7
collapse,173,0.0179862100,0.0179862100,7
collapse,174,0.0179862100,0.0179862100,7
collapse,175,0.0179862100,0.0179862100,7
collapse,176,0.0179862100,0.0179862100,7
collapse,177,0.0179862100,0.0179862100,7
collapse,178,0.0179862100,0.0179862100,7
collapse,179,0.0179862100,0.0179862100,7
collapse,180,0.0179862100,0.0179862100,7
collapse,181,0.0179862100,0.0179862100,7
collapse,182,0.0179862100,0.0179862100,7
collapse,183,0.0179862100,0.0179862100,7
collapse,184,0.0179862100,0.0179862100,7
collapse,185,0.0179862100,0.0179862100,7
collapse,186,0.0179862100,0.0179862100,7
collapse,187,0.0179862100,0.0179862100,7
collapse,188,0.0179862100,0.0179862100,7
collapse,189,0.0179862100,0.0179862100,7
collapse,190,0.0179862100,0.0179862100,7
collapse,191,0.0179862100,0.0179862100,7
collapse,192,0.0179862100,0.0179862100,7
