check,expected,observed,support,opposition,steps,seed,collapse_threshold
reference_horizon_seed,collapse,collapse,-4.0,4.0,300,7,0.1
reference_horizon_seed,collapse,collapse,-4.0,4.0,300,19,0.1
reference_horizon_seed,collapse,collapse,-4.0,4.0,300,41,0.1
reference_horizon_seed,collapse,collapse,-4.0,4.0,300,73,0.1
reference_horizon_seed,collapse,collapse,-4.0,4.0,300,101,0.1
reference_horizon_seed,collapse,collapse,-4.0,4.0,300,151,0.1
reference_horizon_seed,collapse,collapse,-4.0,4.0,300,211,0.1
reference_horizon_seed,collapse,collapse,-4.0,4.0,600,7,0.1
reference_horizon_seed,collapse,collapse,-4.0,4.0,600,19,0.1
reference_horizon_seed,collapse,collapse,-4.0,4.0,600,41,0.1
reference_horizon_seed,collapse,collapse,-4.0,4.0,600,73,0.1
reference_horizon_seed,collapse,collapse,-4.0,4.0,600,101,0.1
reference_horizon_seed,collapse,collapse,-4.0,4.0,600,151,0.1
reference_horizon_seed,collapse,collapse,-4.0,4.0,600,211,0.1
reference_horizon_seed,collapse,collapse,-4.0,4.0,1200,7,0.1
reference_horizon_seed,collapse,collapse,-4.0,4.0,1200,19,0.1
reference_horizon_seed,collapse,collapse,-4.0,4.0,1200,41,0.1
reference_horizon_seed,collapse,collapse,-4.0,4.0,1200,73,0.1
reference_horizon_seed,collapse,collapse,-4.0,4.0,1200,101,0.1
reference_horizon_seed,collapse,collapse,-4.0,4.0,1200,151,0.1
reference_horizon_seed,collapse,collapse,-4.0,4.0,1200,211,0.1
reference_horizon_seed,equilibrium,equilibrium,0.0,2.0,300,7,0.1
reference_horizon_seed,equilibrium,equilibrium,0.0,2.0,300,19,0.1
reference_horizon_seed,equilibrium,equilibrium,0.0,2.0,300,41,0.1
reference_horizon_seed,equilibrium,equilibrium,0.0,2.0,300,73,0.1
reference_horizon_seed,equilibrium,equilibrium,0.0,2.0,300,101,0.1
reference_horizon_seed,equilibrium,equilibrium,0.0,2.0,300,151,0.1
reference_horizon_seed,equilibrium,equilibrium,0.0,2.0,300,211,0.1
reference_horizon_seed,equilibrium,equilibrium,0.0,2.0,600,7,0.1
reference_horizon_seed,equilibrium,equilibrium,0.0,2.0,600,19,0.1
reference_horizon_seed,equilibrium,equilibrium,0.0,2.0,600,41,0.1
reference_horizon_seed,equilibrium,equilibrium,0.0,2.0,600,73,0.1
reference_horizon_seed,equilibrium,equilibrium,0.0,2.0,600,101,0.1
reference_horizon_seed,equilibrium,equilibrium,0.0,2.0,600,151,0.1
reference_horizon_seed,equilibrium,equilibrium,0.0,2.0,600,211,0.1
reference_horizon_seed,equilibrium,equilibrium,0.0,2.0,1200,7,0.1
reference_horizon_seed,equilibrium,equilibrium,0.0,2.0,1200,19,0.1
reference_horizon_seed,equilibrium,equilibrium,0.0,2.0,1200,41,0.1
reference_horizon_seed,equilibrium,equilibrium,0.0,2.0,1200,73,0.1
reference_horizon_seed,equilibrium,equilibrium,0.0,2.0,1200,101,0.1
reference_horizon_seed,equilibrium,equilibrium,0.0,2.0,1200,151,0.1
reference_horizon_seed,equilibrium,equilibrium,0.0,2.0,1200,211,0.1
reference_horizon_seed,lock-in,lock-in,0.0,6.0,300,7,0.1
