source_id,url,locator,source_kind,event_earliest,event_latest,published_at,retrieved_at,sha256,content_path,authority_at_event,exclusion_reason,registration_commit,access_state,eligible,decisive_material_complete
calendar-2026-09-21,https://www.apache.org/foundation/board/calendar.html,Whole access object; no episode classification,archive_index,unknown,unknown,unknown,2026-09-21T14:36:29.706758+00:00,d1d2fbab5deb80a2586be5beff910f33d683fce919b436c577557ba7074d20c9,sources/board-calendar.html,Current official public archive; access only,,00d696ed80bd388955f622e0611853165f19508c,public_complete,unknown,yes
minutes-index-2023,https://www.apache.org/foundation/records/minutes/2023/,Whole access object; no episode classification,archive_index,unknown,unknown,unknown,2026-09-21T14:37:32.396254+00:00,76f927a6772e585066b30c5e193be4d0a4519fa3d55244f63e4549c0ad81d68f,sources/minutes-2023-index.html,Current official public archive; access only,,00d696ed80bd388955f622e0611853165f19508c,public_complete,unknown,yes
minutes-index-2024,https://www.apache.org/foundation/records/minutes/2024/,Whole access object; no episode classification,archive_index,unknown,unknown,unknown,2026-09-21T14:37:32.410415+00:00,1f92c4247f016fda8e465f1e809562943c32742cf8c930ce1cf1472412e6031f,sources/minutes-2024-index.html,Current official public archive; access only,,00d696ed80bd388955f622e0611853165f19508c,public_complete,unknown,yes
minutes-index-2025,https://www.apache.org/foundation/records/minutes/2025/,Whole access object; no episode classification,archive_index,unknown,unknown,unknown,2026-09-21T14:37:32.470668+00:00,01c254da6be51aabda4435ecbcf796f010e8c577220082acce2e2557a9db7d85,sources/minutes-2025-index.html,Current official public archive; access only,,00d696ed80bd388955f622e0611853165f19508c,public_complete,unknown,yes
asf-bylaws-1887743,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/bylaws.mdtext,"Sections 5.1, 5.12, 6.3, 6.4; Amendment II effective 2021-03-11",official_policy,2021-03-11,2021-03-11,2021-03-16T23:51:51+00:00,2026-09-21T14:40:24.768257+00:00,c77fdc69fe257f265ce00016be939fad1a4c581f8025602c8fef41143e1088e8,sources/bylaws-svn.mdtext,"Official ASF bylaws, public SVN last revision 1887743 on 2021-03-16, predating the study window",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2022-10-19,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2022/board_minutes_2022_10_19.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2022-10-19,2022-10-19,2023-10-10T18:52:15+00:00,2026-09-21T14:41:41.745494+00:00,782aa3f2f2e18ceba3dc831c5544c8f28e44f3653094db0bfdd228f56474d284,sources/board_minutes_2022_10_19.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2022-11-16,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2022/board_minutes_2022_11_16.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2022-11-16,2022-11-16,2023-12-09T13:11:30+00:00,2026-09-21T14:41:41.745774+00:00,55a59d8a0dadf3c565b6586935eb2c76127475bb634fe8b8f15afb3804cd91bd,sources/board_minutes_2022_11_16.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2022-12-21,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2022/board_minutes_2022_12_21.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2022-12-21,2022-12-21,2023-10-10T18:52:15+00:00,2026-09-21T14:41:45.738076+00:00,4b2c04b05ffa0ca30512913680163c35b39430262208b1aec2665f9aaf9aeddc,sources/board-2022-12-21.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2023-01-18,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2023/board_minutes_2023_01_18.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2023-01-18,2023-01-18,2023-12-09T13:06:32+00:00,2026-09-21T14:41:41.748028+00:00,f49783d8d25ad1083ae8f8284ea5c81b4bef132b982d6c718cbbd21d9937fbe6,sources/board_minutes_2023_01_18.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
board-2023-02-15,https://svn.apache.org/repos/asf/infrastructure/site/trunk/content/foundation/records/minutes/2023/board_minutes_2023_02_15.txt,Official dated board record; public SVN revision bounds publication of retained bytes,approved_minutes,2023-02-15,2023-02-15,2023-10-12T10:16:27+00:00,2026-09-21T14:41:42.069763+00:00,05b3c9abc703e1fb200e6dc9f9307a9018091a0f65b2501b5e355f0bdfc38186,sources/board_minutes_2023_02_15.txt,"ASF Board official corporate record, dated act distinct from publication and retrieval",,00d696ed80bd388955f622e0611853165f19508c,public_complete,yes,yes
