source_path,start_line,end_line,locator,review_date,review_scope,observation
research/data/asf-access-2026-09-21/sources/board_minutes_2023_02_15.txt,1289,1331,Attachment D: Report from the Apache Ant Project  [Jan Materne],2026-09-22,Ant attachment only; full board/officer screening pending,Project report read; retain self-reported activity separately from Board conduct.
research/data/asf-access-2026-09-21/sources/board_minutes_2023_05_17.txt,1150,1153,Attachment C: Report from the Apache Ant Project  [Jan Materne],2026-09-22,Ant attachment only; full board/officer screening pending,Empty attachment; agenda disposition needs separate verification.
research/data/asf-access-2026-09-21/sources/board_minutes_2023_06_21.txt,1440,1482,Attachment D: Report from the Apache Ant Project  [Jan Materne],2026-09-22,Ant attachment only; full board/officer screening pending,Project report read; retain self-reported activity separately from Board conduct.
research/data/asf-access-2026-09-21/sources/board_minutes_2023_08_16.txt,1448,1508,Attachment D: Report from the Apache Ant Project  [Jan Materne],2026-09-22,Ant attachment only; full board/officer screening pending,Project report read; retain self-reported activity separately from Board conduct.
research/data/asf-access-2026-09-21/sources/board_minutes_2023_11_15.txt,1324,1327,Attachment C: Report from the Apache Ant Project  [Jan Materne],2026-09-22,Ant attachment only; full board/officer screening pending,Empty attachment; agenda disposition needs separate verification.
research/data/asf-access-2026-09-21/sources/board_minutes_2023_12_20.txt,1324,1374,Attachment C: Report from the Apache Ant Project  [Jan Materne],2026-09-22,Ant attachment only; full board/officer screening pending,Project report read; retain self-reported activity separately from Board conduct.
research/data/asf-access-2026-09-21/sources/board_minutes_2024_02_21.txt,1295,1298,Attachment C: Report from the Apache Ant Project  [Jan Materne],2026-09-22,Ant attachment only; full board/officer screening pending,Empty attachment; agenda disposition needs separate verification.
research/data/asf-access-2026-09-21/sources/board_minutes_2024_03_20.txt,1527,1568,Attachment C: Report from the Apache Ant Project  [Jan Materne],2026-09-22,Ant attachment only; full board/officer screening pending,Project report read; retain self-reported activity separately from Board conduct.
research/data/asf-access-2026-09-21/sources/board_minutes_2024_05_15.txt,1187,1231,Attachment C: Report from the Apache Ant Project  [Jan Materne],2026-09-22,Ant attachment only; full board/officer screening pending,Project report read; retain self-reported activity separately from Board conduct.
research/data/asf-access-2026-09-21/sources/board_minutes_2024_08_21.txt,1335,1380,Attachment C: Report from the Apache Ant Project  [Jan Materne],2026-09-22,Ant attachment only; full board/officer screening pending,Project report read; retain self-reported activity separately from Board conduct.
research/data/asf-access-2026-09-21/sources/board_minutes_2024_11_20.txt,1197,1200,Attachment D: Report from the Apache Ant Project  [Jan Materne],2026-09-22,Ant attachment only; full board/officer screening pending,Empty attachment; agenda disposition needs separate verification.
research/data/asf-access-2026-09-21/sources/board_minutes_2025_02_19.txt,1658,1711,Attachment D: Report from the Apache Ant Project  [Jan Materne],2026-09-22,Ant attachment only; full board/officer screening pending,Project report read; retain self-reported activity separately from Board conduct.
research/data/asf-access-2026-09-21/sources/board_minutes_2025_05_21.txt,1533,1536,Attachment D: Report from the Apache Ant Project  [Jan Materne],2026-09-22,Ant attachment only; full board/officer screening pending,Empty attachment; agenda disposition needs separate verification.
research/data/asf-access-2026-09-21/sources/board_minutes_2025_06_18.txt,1237,1240,Attachment C: Report from the Apache Ant Project  [Jan Materne],2026-09-22,Ant attachment only; full board/officer screening pending,Empty attachment; agenda disposition needs separate verification.
research/data/asf-access-2026-09-21/sources/board_minutes_2025_07_16.txt,1557,1610,Attachment E: Report from the Apache Ant Project  [Jan Materne],2026-09-22,Ant attachment only; full board/officer screening pending,Project report read; retain self-reported activity separately from Board conduct.
research/data/asf-access-2026-09-21/sources/board_minutes_2025_08_20.txt,1539,1594,Attachment C: Report from the Apache Ant Project  [Jan Materne],2026-09-22,Ant attachment only; full board/officer screening pending,Project report read; retain self-reported activity separately from Board conduct.
research/data/asf-access-2026-09-21/sources/board_minutes_2025_11_19.txt,1295,1340,Attachment D: Report from the Apache Ant Project  [J Pai],2026-09-22,Ant attachment only; full board/officer screening pending,Project report read; retain self-reported activity separately from Board conduct.
research/data/asf-access-2026-09-21/sources/board_minutes_2025_08_20.txt,618,641,Special Order 7D: Change the Apache Ant Project Chair,2026-09-22,Full resolution and adoption statement only,Board records prior PMC recommendation by vote and appoints successor unanimously; proposal timing and private deliberation content remain unknown.
