project,source_id,topic_id,url,export_path,block_number,raw_sha256,plain_body_sha256,date_header,review_date,review_scope
ant,<dbd3e68b-0a65-f838-e260-6eb0d18f34a2@apache.org>,topic-ab0b51a2cd119c69,https://lists.apache.org/api/source.lua?id=6zlb2y42ky01dyfgc1owdw98fnkfn9hc,research/data/asf-access-2026-09-21/sources/ant-2023-01.mbox.gz,10,c9d528eba011ec294dd2da86b4311e814f3f04b5303278592826e2c73b52ed0e,077af0a0f19a86ccef34e28ec20d33252e5906896db908b5a5fd87bcb33fff1a,"Tue, 10 Jan 2023 17:32:16 +0530",2026-09-22,complete plain-text body; linked-source follow-up pending
ant,<87k01ufqp1.fsf@v45346.1blu.de>,topic-ab0b51a2cd119c69,https://lists.apache.org/api/source.lua?id=td1bdwjv78r2gmds9s8xjmy98sq4lpfh,research/data/asf-access-2026-09-21/sources/ant-2023-01.mbox.gz,11,29c569efda282038b58a1af0612010c75c616b254b9fc09a553c30e60de9e22d,187e58b59eae69dc5d05a0938604367a858a3615039af70b1f704aefc365505e,"Tue, 10 Jan 2023 14:46:02 +0100",2026-09-22,complete plain-text body; linked-source follow-up pending
ant,<77796281-643f-8fac-29ae-4effb22a53dd@gmail.com>,topic-ab0b51a2cd119c69,https://lists.apache.org/api/source.lua?id=ybny8zj2ns3r5cv1tokcghfb0yro7yrc,research/data/asf-access-2026-09-21/sources/ant-2023-01.mbox.gz,12,164927a030643ea3307991e7afd4be7a571f27312fd08bff0d1ffb12f2be37f8,8679bbc79dcf25343e00badffdea01a2ac88dcd61e91e78e13a43f4ebd1b9f72,"Tue, 10 Jan 2023 19:19:42 +0530",2026-09-22,complete plain-text body; linked-source follow-up pending
ant,<6335f4359cbfdb7bdd42ed1c434a9077e59af2ed.camel@apache.org>,topic-825b6ba7e70eff07,https://lists.apache.org/api/source.lua?id=ox5vlhn6pw5z0dg2p0ry1ol3r5ff8dsh,research/data/asf-access-2026-09-21/sources/ant-2023-03.mbox.gz,10,695995bf30758973e8e1ed8679a10a818e02cd4818bd3cb70ef91ae246af07eb,d446e4a18400a694390784b8def845380210b15212ad7ef938ac04fbaa77ddd4,"Wed, 29 Mar 2023 08:42:18 -0400",2026-09-22,complete plain-text body; linked-source follow-up pending
ant,<87y1lrqivo.fsf@v45346.1blu.de>,topic-8adc6f62b7339bd3,https://lists.apache.org/api/source.lua?id=o5gvwztcg0rbfnz5jv7zfjvo0bvl0y2k,research/data/asf-access-2026-09-21/sources/ant-2023-05.mbox.gz,4,e673c0b776527d21474993c0b0f5f1aff002765ee4f2edec3218459b6a7c9fa8,98113fd42f7385b96c15e1d89d9125e51285dbff6e92cc502608cf3b9e12a8ba,"Sun, 14 May 2023 12:58:51 +0200",2026-09-22,complete plain-text body; linked-source follow-up pending
ant,<704e8dd9-7a52-8670-ad97-ee910b11f344@gmail.com>,topic-8adc6f62b7339bd3,https://lists.apache.org/api/source.lua?id=g73ob1zftsjw50hn8txcw9jfvqb0qdrc,research/data/asf-access-2026-09-21/sources/ant-2023-05.mbox.gz,5,d0f2c2c34a4399483aa486e63f1534dbc68d87dcc7a22ede4d8db97d49ff0345,96009bba5aff9b002e64a64f9c3129dec9afca95b547ba21cc1974286e84ff7c,"Mon, 15 May 2023 07:13:43 +0530",2026-09-22,complete plain-text body; linked-source follow-up pending
ant,<CAKRyKGW2=EPNO+Kmvw6yQUKKmqRPzqiNZMuFyZPpEMdK40pU_g@mail.gmail.com>,topic-957d2d7a45ac7b89,https://lists.apache.org/api/source.lua?id=x3k0h4vo6bt1pto3xlffq7gl8sqtpvy9,research/data/asf-access-2026-09-21/sources/ant-2023-08.mbox.gz,31,06fe5ea7bbaa4dce165bad9b9b39236944b56c4d0c3948c0bb2d2622ffb4d79a,156a3951a9b2414078c99881c05fdc1af79aa95c1ff0f982154d3b1d7aa0fe49,"Thu, 17 Aug 2023 10:27:39 +0200",2026-09-22,complete plain-text body; linked-source follow-up pending
ant,<87cyzfukuf.fsf@v45346.1blu.de>,topic-7372b3d7c63f4cdf,https://lists.apache.org/api/source.lua?id=h372vt1ztd6gfmgmfkmqzrksx6fpw97g,research/data/asf-access-2026-09-21/sources/ant-2023-08.mbox.gz,49,cba35c2ab4bc8cccaae935b52cb6ac4e861e5549355f5196b38ee412915cbc2b,d36200873de4dab3ef7afacc39cedd5de9d5913c85a0ebd7b2e1b0cd6926acb3,"Tue, 22 Aug 2023 18:02:00 +0200",2026-09-22,complete plain-text body; linked-source follow-up pending
ant,<006101d9d518$03ff1380$0bfd3a80$@infass.com>,topic-7372b3d7c63f4cdf,https://lists.apache.org/api/source.lua?id=q985qs18d88qhgnw6t59hxtx7xch152k,research/data/asf-access-2026-09-21/sources/ant-2023-08.mbox.gz,50,c7402af98a8146e6dfc8b7de4e7b25b184557636a768360c3f003e796ef4042b,ae17b3edf6122c61a82a17aa19cfb44afaaaec6fae2a3857974e6ef92b1a0269,"Tue, 22 Aug 2023 18:45:10 +0200",2026-09-22,complete plain-text body; linked-source follow-up pending
ant,<DM6PR04MB703326DB40931208588D156AA31FA@DM6PR04MB7033.namprd04.prod.outlook.com>,topic-f635825f7119a7a7,https://lists.apache.org/api/source.lua?id=gz60fzp30l03gdnkdbz6sqp1sn40526r,research/data/asf-access-2026-09-21/sources/ant-2023-08.mbox.gz,51,ebb187b3f6f9e129c73b34ddffc7a8eceb84909deb4c7070490dba96033ccd49,f2a32d13e4439dee3e070a47f165f82d27773f0b09e41ea77a63892f42140b40,"Tue, 22 Aug 2023 17:28:18 +0000",2026-09-22,complete plain-text body; linked-source follow-up pending
