topic_id,project,first_date,subject,message_count,review_state,classification,reason
topic-122569a1583cf6ea,ant,2023-01-04,[VOTE] Release Apache Ant 1.10.13 based on RC1,5,pending,,
topic-124ecf7f2dab2bf2,ant,2023-01-10,[ANNOUNCE] Apache Ant 1.10.13 released,1,pending,,
topic-ab0b51a2cd119c69,ant,2023-01-10,Need help with Ant versions in bugzilla,3,body_reviewed_followup_pending,ordinary_maintenance,Bugzilla version request was answered that the changes were already done at vote closure. No foundation role or sender-first change established by this exchange.
topic-37f34d541eb3a85a,ant,2023-01-25,JDK 20 Rampdown Phase 2 & JMX Heads-up,1,pending,,
topic-b2adbc7ab352b28c,ant,2023-01-30,Pass secret to Exec task,2,pending,,
topic-8c0b6241f90c081c,ant,2023-02-15,JDK 20 Release Candidate and Deprecation,2,pending,,
topic-5c69b632afa1e2ac,ant,2023-02-23,Improvement ideas for Ant 1.10.13,7,pending,,
topic-52cba5db7095113b,ant,2023-03-28,"JDK 20 is now GA, JDK 21 Early-Access builds, and 2 important heads-up!",1,pending,,
topic-825b6ba7e70eff07,ant,2023-03-29,A Message from the Board to PMC members,1,body_reviewed_followup_pending,governance_candidate,Board reminder restates collective PMC duties; preserve as one shared directive across projects. Role and effective-rule corroboration and receiver responses remain pending.
topic-2b441ba8ce689bbd,ant,2023-04-14,Need Help Understanding Ivy's dependency/artifacts,3,pending,,
topic-bd1f521abffce541,ant,2023-05-09,"Call for Presentations, Community Over Code 2023",1,pending,,
topic-8adc6f62b7339bd3,ant,2023-05-14,Issues running tests on Gump after switching to Java 21,2,body_reviewed_followup_pending,service_candidate,Gump Java 21 build breakage and suggested SecurityManager workaround; foundation actor and directed request are unestablished. Retain for dependency/shock check.
topic-bdbc786bacc0a228,ant,2023-05-15,JDK 21 EA builds 22 & Sequenced Collections Heads-up,2,pending,,
topic-eae65ede393fb282,ant,2023-05-15,Release Ant 1.10.13?,2,pending,,
topic-3aa83ec555fabfcc,ant,2023-06-05,"Call for Presentations, Community Over Code Asia 2023",1,pending,,
topic-fef233ee9c578ec5,ant,2023-06-14,JDK 21 is in Rampdown / The importance of testing with Early-Access Builds,1,pending,,
topic-6b43596db080be13,ant,2023-06-16,TAC Applications for Community Over Code North America and Asia now open,1,pending,,
topic-d551ed3483bd4333,ant,2023-06-28,Final Reminder: Community Over Code call for presentations closing soon,1,pending,,
topic-f2bc1fcc1bd269b1,ant,2023-07-28,JDK 22 is in Rampdown Phase 2 | Annotation Processing Change Heads-up,2,pending,,
topic-e2eca134c81c53ca,ant,2023-08-07,How to use custom .ivy2 directory,2,pending,,
topic-57c18ec9e9d4a50e,ant,2023-08-12,Release Ant 1.10.14?,2,pending,,
